"DateAdded","Cohort","Date","MeanLength","MeanWeight","MeanR","MeanS","MeanG","MeanRS","TotalCohortAbundance","AgeDays","AgeYears"
2000-06-17,2000,2000-06-17,6.96233903466607,0.930158501503706,4.30024666250853,1.62500279713599,0,2.59646271615679,11.6670218506884,169,0.463
2000-06-17,2000,2000-06-27,7.25358507874475,1.14078814454597,5.7058499507572,1.83408941055597,0,3.06492143032513,11.6483816802711,179,0.4904
2000-06-17,2000,2000-07-07,7.63175411972951,1.40155417310119,7.34528862821238,2.13001326199209,0,3.41048616807867,11.6297417817306,189,0.5178
2000-06-17,2000,2000-07-17,8.02433163761609,1.6638142726251,8.91907020080493,2.45524470970331,0,3.62111338344434,11.6111019606675,199,0.5452
2000-06-17,2000,2000-07-27,8.08436741281607,1.66422173108091,8.79986277114215,2.5005094877622,0,3.51862644210186,11.5924618542103,209,0.5726
2000-06-17,2000,2000-08-06,8.0843675144963,1.62468897635437,8.429393813637,2.50050957696894,0,3.36788438769093,11.5738222036414,219,0.6
2000-06-17,2000,2000-08-16,8.08436775344203,1.585219045538,8.05951146396914,2.50050980608679,0,3.21742113328198,11.5551821309197,229,0.6274
2000-06-17,2000,2000-08-26,8.08436725140412,1.5459762259972,7.6917566123353,2.50050934200502,0,3.06786894620422,11.5365425715957,239,0.6548
2000-06-17,2000,2000-09-05,8.08436764030213,1.50711983727365,7.32761610178935,2.50050970041099,0,2.91983034699059,11.5179021409672,249,0.6822
2000-06-17,2000,2000-09-15,8.08436754083378,1.46884941631784,6.96896486066316,2.50050962940598,0,2.77406857193388,11.4992625846338,259,0.7096
2000-06-17,2000,2000-09-25,8.08436779813649,1.43134003749136,6.61745291807583,2.50050981280877,0,2.6312481895482,11.4806227613848,269,0.737
2000-06-17,2000,2000-10-05,8.08436729581089,1.39471537892776,6.27423109680658,2.50050940998174,0,2.49184235679962,11.461982517853,279,0.7644
2000-06-17,2000,2000-10-15,8.08436766403555,1.359079346488,5.94028452786063,2.50050971209423,0,2.35624488689674,11.4433428777746,289,0.7918
2000-06-17,2000,2000-10-25,8.08436730558907,1.32452870041287,5.61649245033944,2.50050938826359,0,2.22481256382695,11.4247029546393,299,0.8192
2000-06-17,2000,2000-11-04,8.08436703530545,1.29109311672085,5.30316506158047,2.50050916069879,0,2.09766871611206,11.4060629966129,309,0.8466
2000-06-17,2000,2000-11-14,8.08436762396289,1.2587839317044,5.00036831587741,2.50050968004893,0,1.97483637342028,11.3874226926439,319,0.874
2000-06-17,2000,2000-11-24,8.08436743925232,1.22760531664226,4.7081981365902,2.50050951954878,0,1.85635216809376,11.3687833539318,329,0.9014
2000-06-17,2000,2000-12-04,8.08436776888677,1.19755141540543,4.42654644954354,2.50050977181286,0,1.74217121914247,11.3501433407499,339,0.9288
2000-06-17,2000,2000-12-14,8.0843718065487,1.16859518010873,4.15517194670509,2.50051311490547,0,1.63218676876651,11.331501745828,349,0.9562
2000-06-17,2000,2000-12-24,8.08440923178206,1.14070253033749,3.89371635942751,2.5005434641466,0,1.52624507158665,11.3128482293421,359,0.9836
2000-06-17,2000,2001-01-03,8.08474746686295,1.11392812891776,3.64204727289852,2.50081786649601,0,1.42419131629834,11.2940842494488,368,1.0082
2000-06-17,2000,2001-01-13,8.08734378676568,1.08899190366663,3.40262875945774,2.50292281547668,0,1.32640190494083,11.2745019051814,378,1.0356
